,frame,n_masks,mask_area,mask_centroid,mask_conf,mask_strength,bbox_id,bbox_area,bbox_centroid,bbox_dim
1,42.0,3.0,849.0,"[306.0, 197.0]",0.8559759,171.33,5.0,1280.0,"[305.0, 198.0]","[32.0, 40.0]"
2,42.0,3.0,1989.0,"[247.0, 248.0]",0.9220727,164.81,2.0,2624.0,"[246.0, 255.0]","[41.0, 64.0]"
0,43.0,2.0,6144.0,"[168.0, 290.0]",0.7525738,154.44,1.0,7626.0,"[170.0, 292.0]","[62.0, 123.0]"
1,43.0,2.0,754.0,"[304.0, 200.0]",0.88786227,172.04,5.0,1140.0,"[305.0, 199.0]","[30.0, 38.0]"
0,44.0,3.0,4679.0,"[166.0, 285.0]",0.68224496,155.27,1.0,6669.0,"[170.0, 287.0]","[57.0, 117.0]"
1,44.0,3.0,814.0,"[304.0, 198.0]",0.8250257,171.82,5.0,1102.0,"[305.0, 200.0]","[29.0, 38.0]"
2,44.0,3.0,990.0,"[251.0, 254.0]",0.7571238,165.11,2.0,1922.0,"[250.0, 255.0]","[31.0, 62.0]"
0,45.0,3.0,2730.0,"[165.0, 298.0]",0.7289999,151.1,1.0,4743.0,"[168.0, 296.0]","[51.0, 93.0]"
1,45.0,3.0,665.0,"[305.0, 201.0]",0.82764405,172.35,5.0,999.0,"[306.0, 201.0]","[27.0, 37.0]"
2,45.0,3.0,1423.0,"[249.0, 250.0]",0.8225955,165.17,2.0,2079.0,"[251.0, 255.0]","[33.0, 63.0]"
0,46.0,3.0,4464.0,"[164.0, 299.0]",0.8456471,150.39,1.0,5616.0,"[167.0, 295.0]","[54.0, 104.0]"
1,46.0,3.0,692.0,"[307.0, 200.0]",0.8757502,172.88,5.0,972.0,"[306.0, 201.0]","[27.0, 36.0]"
2,46.0,3.0,1789.0,"[247.0, 249.0]",0.9757047,164.69,2.0,2584.0,"[247.0, 253.0]","[38.0, 68.0]"
0,47.0,3.0,3412.0,"[167.0, 295.0]",0.8058321,152.19,1.0,5487.0,"[171.0, 296.0]","[59.0, 93.0]"
1,47.0,3.0,551.0,"[305.0, 202.0]",0.7227413,173.18,5.0,775.0,"[306.0, 203.0]","[25.0, 31.0]"
2,47.0,3.0,1637.0,"[247.0, 251.0]",0.95300704,164.71,2.0,2911.0,"[246.0, 252.0]","[41.0, 71.0]"
0,48.0,3.0,8765.0,"[166.0, 296.0]",0.88378274,153.43,1.0,9638.0,"[172.0, 296.0]","[79.0, 122.0]"
1,48.0,3.0,534.0,"[305.0, 204.0]",0.8137848,173.71,5.0,728.0,"[305.0, 204.0]","[26.0, 28.0]"
2,48.0,3.0,1540.0,"[248.0, 251.0]",0.7450929,164.71,2.0,2788.0,"[246.0, 253.0]","[41.0, 68.0]"
0,49.0,3.0,2714.0,"[161.0, 271.0]",0.71672595,160.86,1.0,5985.0,"[166.0, 282.0]","[63.0, 95.0]"
1,49.0,3.0,656.0,"[305.0, 202.0]",0.64133376,172.84,5.0,800.0,"[306.0, 204.0]","[25.0, 32.0]"
2,49.0,3.0,1255.0,"[248.0, 253.0]",0.8083438,164.83,2.0,2268.0,"[247.0, 257.0]","[36.0, 63.0]"
0,50.0,3.0,4361.0,"[161.0, 295.0]",0.8909719,151.39,1.0,5858.0,"[164.0, 292.0]","[58.0, 101.0]"
1,50.0,3.0,791.0,"[304.0, 199.0]",0.8009287,171.71,5.0,900.0,"[305.0, 202.0]","[25.0, 36.0]"
2,50.0,3.0,1575.0,"[248.0, 251.0]",0.90302867,164.9,2.0,2520.0,"[247.0, 256.0]","[40.0, 63.0]"
0,51.0,1.0,938.0,"[305.0, 198.0]",0.13990317,171.56,5.0,1000.0,"[306.0, 200.0]","[25.0, 40.0]"
0,52.0,3.0,482.0,"[305.0, 206.0]",0.82025653,174.23,5.0,806.0,"[306.0, 205.0]","[26.0, 31.0]"
1,52.0,3.0,3102.0,"[162.0, 304.0]",0.94989765,148.34,1.0,4176.0,"[165.0, 302.0]","[48.0, 87.0]"
2,52.0,3.0,1248.0,"[249.0, 248.0]",0.94849515,164.72,2.0,2065.0,"[249.0, 251.0]","[35.0, 59.0]"
0,53.0,3.0,658.0,"[306.0, 201.0]",0.842839,173.17,5.0,800.0,"[307.0, 203.0]","[25.0, 32.0]"
